Trial #,F1 Score,num_capas_ocultas,optimizador,tasa_aprendizaje,tamaño_lote,peso_BLL,peso_FSRQ,peso_NoAGN,peso_OtroAGN,fantasma,unidades_capa_0,activación_capa_0,tasa_abandono_capa_0,unidades_capa_1,activación_capa_1,tasa_abandono_capa_1,unidades_capa_2,activación_capa_2,tasa_abandono_capa_2,unidades_capa_3,activación_capa_3,tasa_abandono_capa_3,unidades_capa_4,activación_capa_4,tasa_abandono_capa_4
142,0.84486590,3,AdamW,0.00078812,32,1.514351903,4.607102254,4.525532849,1.407927143,13.20124253,114,tanh,0.2,130,relu,0.1,115,gelu,0,,,,,,
127,0.842188813,3,AdamW,0.000899065,106,1.392731722,4.7932485,4.360524711,1.404320652,13.60770571,103,tanh,0.15,128,relu,0,99,gelu,0.3,,,,,,
138,0.842176332,3,AdamW,0.000977468,101,1.352920594,4.689629877,4.45807515,1.310084092,14.05116537,114,tanh,0.15,130,relu,0.1,117,gelu,0.05,,,,,,
134,0.841017485,3,AdamW,0.000775916,113,1.151693789,4.521557837,4.375825625,1.381899604,12.32556347,108,tanh,0.15,129,relu,0.1,111,selu,0.25,,,,,,
141,0.841017485,3,AdamW,0.00090787,107,1.354779799,4.912218292,4.692142371,1.253471856,14.11277482,109,tanh,0.15,130,relu,0.1,118,gelu,0.05,,,,,,
151,0.841017485,3,AdamW,0.000617565,69,1.397637863,4.688514447,4.54693552,1.479616713,13.73992215,113,tanh,0.2,127,relu,0.1,115,gelu,0.05,,,,,,
199,0.841017485,3,Nadam,0.000645594,101,1.27203004,4.451196601,4.483539261,1.402956646,11.98632023,112,relu,0.15,129,relu,0.1,116,elu,0,,,,,,
271,0.841017485,5,AdamW,0.000419266,51,2.100073856,3.135244893,3.960642756,1.573166519,11.40126327,119,relu,0.2,92,tanh,0,127,gelu,0.15,65,elu,0.4,78,elu,0.05
256,0.84053741,3,AdamW,0.000580326,54,1.439190736,4.720861149,4.008348773,1.348200514,13.80692406,114,tanh,0.25,125,relu,0.1,107,gelu,0.05,,,,,,
171,0.840398365,3,AdamW,0.000826045,51,1.181933653,4.854661008,4.232631509,1.299809138,14.3761379,107,tanh,0.15,129,relu,0.1,122,selu,0,,,,,,
