Top Trials,Trial #,F1 Score,num_capas_ocultas,optimizador,tasa_aprendizaje,tamaño_lote,peso_BLL,peso_FSRQ,peso_NoAGN,peso_OtroAGN,unidades_capa_0,activación_capa_0,tasa_abandono_capa_0,unidades_capa_1,activación_capa_1,tasa_abandono_capa_1,unidades_capa_2,activación_capa_2,tasa_abandono_capa_2,unidades_capa_3,activación_capa_3,tasa_abandono_capa_3,unidades_capa_4,activación_capa_4,tasa_abandono_capa_4
1,351,0.8485907825163527,4,AdamW,0.000273854,81,1.7934758584743657,4.329571385425013,4.098691988236785,16.023950163947294,136,selu,0.1,41,relu,0,83,gelu,0.15000000000000002,74,relu,0.45,,,
2,274,0.8484689856101473,5,AdamW,0.000423156,54,1.8142316789668973,4.417229136526587,3.8577208177748545,16.517013363240196,138,relu,0.15000000000000002,44,elu,0,76,gelu,0.1,62,relu,0.35000000000000003,106,relu,0.1
3,146,0.8482009296221911,5,Nadam,0.000836354,46,1.6861292752948762,4.626399233327085,4.106435309701364,21.177524384438644,145,relu,0.15000000000000002,82,selu,0.1,41,relu,0,82,gelu,0.4,90,selu,0.30000000000000004
4,149,0.8470322016333716,5,Nadam,0.0008994,49,1.7070145642815069,4.095385169224491,3.951290873245649,18.469242525434435,138,relu,0.2,97,selu,0.1,39,relu,0,92,gelu,0.30000000000000004,93,selu,0.30000000000000004
5,301,0.8466816552873717,4,AdamW,0.000246777,77,1.705445837789111,3.9064718035273325,4.047903364251497,15.916248020920962,137,relu,0.1,45,elu,0,83,gelu,0.05,129,relu,0.4,,,
6,331,0.8464489779489769,4,AdamW,0.000381634,86,1.7044371397559555,4.254082849488138,3.9194030804171427,16.796595162856967,135,relu,0.05,48,gelu,0,94,gelu,0.05,138,relu,0.4,,,
7,175,0.8460833479452503,5,Nadam,0.000757503,51,1.9320020976564158,4.344594055197451,4.021147551897464,17.804897766047915,147,tanh,0.2,83,selu,0.1,45,gelu,0,81,gelu,0.30000000000000004,56,relu,0.25
8,277,0.8459162420954147,5,AdamW,0.000332902,57,1.6812123793935432,4.2513110657649165,3.9013953612202568,16.557991685730972,139,relu,0.15000000000000002,47,elu,0,78,gelu,0.1,63,relu,0.35000000000000003,108,relu,0.1
9,298,0.8458675304751877,4,AdamW,0.000249993,83,1.7122687654468716,4.171523300911514,3.867416066182981,13.757745056390984,143,relu,0.1,38,elu,0,81,gelu,0.05,129,relu,0.4,,,
10,382,0.8458103769126841,4,AdamW,0.000137548,49,1.9334065704085592,4.3693454395579705,4.231744832,16.56668201843868,142,relu,0.15000000000000002,40,elu,0,39,gelu,0.2,67,relu,0.4,,,
