PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_powerlaw,spectrum_plsuperexpcutoff,CLASE_PREDICHA,PROB_BLL,PROB_FSRQ,PROB_NoAGN,NombreFuente
3.03037e-13,2.6885703,4.915839e-13,2.7289863,0.39527008,2.8999615,5.095913e-13,2.5952654,0.944199,0.6666667,2.9639125,543.5958,14.213484,0.23561396,SrcVela,1,0,0,NoAGN,0.013239856,0.21007407,0.7766861,4FGL J0751.6-5029c
2.2100666e-13,2.6025004,2.6806533e-13,2.6405997,0.1578463,1.4003075,2.7954643e-13,2.5845482,0.46350136,0.6666667,0.9697572,555.5669,11.213105,0,SrcVela,0,1,0,NoAGN,0.04984153,0.09087765,0.8592808,4FGL J0753.8-4700
1.8942611e-13,2.5955226,3.123437e-13,2.596532,0.35181874,2.9085033,3.1955759e-13,2.3997538,0.786695,0.6666667,3.0226905,499.71014,6.9204316,0,SrcVela,1,0,0,NoAGN,0.002399792,0.05123086,0.9463693,4FGL J0803.5-5145c
2.496113e-14,2.4173803,2.8725655e-14,2.4233778,0.082381494,0.8327251,2.8401433e-14,2.3366034,0.13012426,0.6666667,0,380.8465,10.712424,0,SrcVela,0,1,0,NoAGN,0.10594027,0.13727115,0.7567886,4FGL J0808.3-5121
1.9200802e-13,2.6383843,2.6256956e-13,2.7022886,0.23461516,2.151483,2.7594054e-13,2.6385171,0.68592185,0.6666667,1.9527858,592.63184,11.693874,0,SrcVela,1,0,0,NoAGN,0.009594185,0.08982872,0.90057707,4FGL J0813.1-5049
1.0575903e-12,2.8297777,1.6369464e-12,2.8512197,0.40504453,3.5051033,1.6985446e-12,2.7156858,0.95273167,0.6666667,3.5797193,855.5249,31.269354,0.5059947,SrcVela,1,0,0,FSRQ,0.023762656,0.72936165,0.2468757,4FGL J0817.7-5258c
2.4024555e-14,2.2377532,2.3290675e-14,2.243091,-0.018327175,0.194769,2.3915697e-14,2.23603,-0.00158489,0.6666667,0,589.0444,22.938887,0.39670107,SrcVela,0,1,0,BLL,0.75221586,0.17813045,0.06965376,4FGL J0822.8-4207
1.1370829e-12,2.8097105,1.6009837e-12,2.7939286,0.31088752,2.9670324,1.6470175e-12,2.657303,0.7183007,0.6666667,3.0509214,910.20966,9.964128,0,SrcVela,1,0,0,NoAGN,0.018711938,0.25127605,0.730012,4FGL J0825.6-5216c
3.3156168e-13,2.3685448,4.1664288e-13,2.133581,0.26418924,4.0586324,4.0799848e-13,2.0380845,0.41094893,0.6666667,4.4015374,982.67883,10.659217,0,SrcVela,1,0,0,NoAGN,0.000193876,0.000810416,0.9989957,4FGL J0826.1-5053
4.9559466e-15,2.1222246,5.1064592e-15,2.1128974,0.011070338,0,5.392906e-15,1.899785,0.14474389,0.6666667,0,281.47284,17.491407,0.33764467,SrcVela,0,1,0,BLL,0.8226069,0.100596644,0.076796465,4FGL J0827.0-4111c
1.6420268e-13,2.5177617,2.1688308e-13,2.2580078,0.4187413,4.3723793,2.1435348e-13,2.140975,0.7362667,0.6666667,4.530263,767.31866,15.089942,0.21484113,SrcVela,1,0,0,NoAGN,0.000349207,0.002246663,0.99740416,4FGL J0828.4-4444
1.7170728e-13,2.5177157,1.9629815e-13,2.471993,0.14984488,2.9260774,1.9408539e-13,2.3860528,0.24941733,0.6666667,2.7504246,1250.0458,13.504294,0.08628154,SrcVela,1,0,0,NoAGN,0.040709734,0.30253154,0.65675867,4FGL J0830.5-4451
6.74539e-14,2.5855875,6.8498714e-14,2.5940976,0.010770967,0,6.705235e-14,2.5881114,-0.013008856,0.6666667,0,714.227,10.688735,0,SrcVela,0,1,0,FSRQ,0.22665934,0.456654,0.3166867,4FGL J0832.2-4322c
1.9207475e-14,2.4757817,2.4745344e-14,2.2292557,0.30355334,1.6614712,2.4962794e-14,2.1089816,0.5471404,0.6666667,1.851239,476.72757,20.2078,0.40913776,SrcVela,0,1,0,FSRQ,0.40835884,0.55541605,0.03622508,4FGL J0833.3-4342c
6.351447e-14,2.6737194,7.072654e-14,2.7774224,0.115475066,1.4700897,7.236412e-14,2.6618335,0.29212424,0.6666667,1.2830954,724.59216,14.3321,0,SrcVela,0,1,0,NoAGN,0.01857504,0.08355489,0.89787006,4FGL J0833.8-4400
2.8201223e-13,2.6513371,3.7104702e-13,2.6181464,0.23562647,2.517699,3.768324e-13,2.4498215,0.51136446,0.6666667,2.613432,804.9574,5.774761,0,SrcVela,1,0,0,NoAGN,0.013363618,0.08913147,0.8975049,4FGL J0837.8-4048c
1.7686106e-12,2.8561213,2.8813362e-12,2.9227066,0.4084972,3.7504823,2.9309112e-12,2.7492561,0.8968216,0.6666667,3.8785024,1151.5981,10.478228,0,SrcVela,1,0,0,NoAGN,0.000948614,0.06753153,0.9315198,4FGL J0838.4-3952
8.787001e-13,2.790417,1.4041252e-12,3.0955818,0.39675605,3.1698895,1.4317561e-12,2.9643142,0.95947355,0.6666667,3.0820792,1047.0759,16.653168,0.39116377,SrcVela,1,0,0,NoAGN,0.004837656,0.23967487,0.75548756,4FGL J0840.5-4122c
4.3726286e-13,2.7123568,5.884249e-13,2.8301103,0.30481377,3.0960693,6.1342495e-13,2.684504,0.80588853,0.6666667,3.123189,916.7877,8.965928,0,SrcVela,1,0,0,NoAGN,0.002149685,0.07459735,0.92325294,4FGL J0844.1-4330
2.3507045e-13,2.6132758,3.4052999e-13,2.6272163,0.34550795,3.5275712,3.494094e-13,2.4281988,0.7730071,0.6666667,3.6972785,781.5311,11.319254,0,SrcVela,1,0,0,NoAGN,0.000709675,0.026053632,0.9732367,4FGL J0844.9-4117
1.4720763e-14,2.312171,1.3031946e-14,2.3632343,-0.081499465,1.1660917,1.4365531e-14,2.4131482,-0.041130412,0.6666667,0,273.7464,20.255219,0.55401796,SrcVela,0,1,0,BLL,0.45898855,0.4269219,0.114089526,4FGL J0846.6-4747
4.6252385e-13,2.7470756,7.159334e-13,2.9875603,0.38870516,3.7273874,7.260888e-13,2.816974,0.86829233,0.6666667,3.6509604,996.5813,7.480365,0,SrcVela,1,0,0,NoAGN,0.000159866,0.03980456,0.9600355,4FGL J0847.8-4138
