PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_powerlaw,spectrum_plsuperexpcutoff,CLASE_PREDICHA,PROB_BLL,PROB_FSRQ,PROB_NoAGN,Source_Name
1.6420268e-13,2.5177617,2.1688308e-13,2.2580078,0.4187413,4.3723793,2.1435348e-13,2.140975,0.7362667,0.6666667,4.530263,767.31866,15.089942,0.21484113,SrcVela,1,0,0,NoAGN,0.000349207,0.002246663,0.99740416,4FGL J0828.4-4444
1.7170728e-13,2.5177157,1.9629815e-13,2.471993,0.14984488,2.9260774,1.9408539e-13,2.3860528,0.24941733,0.6666667,2.7504246,1250.0458,13.504294,0.08628154,SrcVela,1,0,0,NoAGN,0.040709734,0.30253154,0.65675867,4FGL J0830.5-4451
6.74539e-14,2.5855875,6.8498714e-14,2.5940976,0.010770967,0,6.705235e-14,2.5881114,-0.013008856,0.6666667,0,714.227,10.688735,0,SrcVela,0,1,0,FSRQ,0.22665934,0.456654,0.3166867,4FGL J0832.2-4322c
1.9207475e-14,2.4757817,2.4745344e-14,2.2292557,0.30355334,1.6614712,2.4962794e-14,2.1089816,0.5471404,0.6666667,1.851239,476.72757,20.2078,0.40913776,SrcVela,0,1,0,FSRQ,0.40835884,0.55541605,0.03622508,4FGL J0833.3-4342c
6.351447e-14,2.6737194,7.072654e-14,2.7774224,0.115475066,1.4700897,7.236412e-14,2.6618335,0.29212424,0.6666667,1.2830954,724.59216,14.3321,0,SrcVela,0,1,0,NoAGN,0.01857504,0.08355489,0.89787006,4FGL J0833.8-4400
2.8201223e-13,2.6513371,3.7104702e-13,2.6181464,0.23562647,2.517699,3.768324e-13,2.4498215,0.51136446,0.6666667,2.613432,804.9574,5.774761,0,SrcVela,1,0,0,NoAGN,0.013363618,0.08913147,0.8975049,4FGL J0837.8-4048c
8.787001e-13,2.790417,1.4041252e-12,3.0955818,0.39675605,3.1698895,1.4317561e-12,2.9643142,0.95947355,0.6666667,3.0820792,1047.0759,16.653168,0.39116377,SrcVela,1,0,0,NoAGN,0.004837656,0.23967487,0.75548756,4FGL J0840.5-4122c
9.711762e-13,2.8499243,1.629823e-12,3.0910368,0.47518623,4.5931726,1.6727806e-12,2.962402,1.1640037,0.6666667,4.508513,1147.4222,10.4822,0,SrcVela,1,0,0,NoAGN,5.211712e-05,0.054854985,0.9450928,4FGL J0843.9-4224c
4.3726286e-13,2.7123568,5.884249e-13,2.8301103,0.30481377,3.0960693,6.1342495e-13,2.684504,0.80588853,0.6666667,3.123189,916.7877,8.965928,0,SrcVela,1,0,0,NoAGN,0.002149685,0.07459735,0.92325294,4FGL J0844.1-4330
2.3507045e-13,2.6132758,3.4052999e-13,2.6272163,0.34550795,3.5275712,3.494094e-13,2.4281988,0.7730071,0.6666667,3.6972785,781.5311,11.319254,0,SrcVela,1,0,0,NoAGN,0.000709675,0.026053632,0.9732367,4FGL J0844.9-4117
1.4720763e-14,2.312171,1.3031946e-14,2.3632343,-0.081499465,1.1660917,1.4365531e-14,2.4131482,-0.041130412,0.6666667,0,273.7464,20.255219,0.55401796,SrcVela,0,1,0,BLL,0.45898855,0.4269219,0.114089526,4FGL J0846.6-4747
4.6252385e-13,2.7470756,7.159334e-13,2.9875603,0.38870516,3.7273874,7.260888e-13,2.816974,0.86829233,0.6666667,3.6509604,996.5813,7.480365,0,SrcVela,1,0,0,NoAGN,0.000159866,0.03980456,0.9600355,4FGL J0847.8-4138
8.906007e-15,2.128301,8.065353e-15,2.1259859,-0.052660517,1.062096,8.223607e-15,2.2190704,-0.053163677,0.6666667,0.90881544,390.2786,11.0970955,0,SrcVela,0,1,0,BLL,0.59068555,0.11330386,0.29601055,4FGL J0848.2-4527
9.030326e-13,2.7327878,1.1351148e-12,2.912307,0.25175196,4.722467,1.1527325e-12,2.8076715,0.58312374,0.6666667,4.1697936,2104.018,7.39445,0,SrcVela,1,0,0,NoAGN,0.001305332,0.055303212,0.9433915,4FGL J0848.8-4328
4.2305464e-14,2.4953494,4.68598e-14,2.5638113,0.08066299,0.8739959,4.6459035e-14,2.4783173,0.14942107,0.6666667,0,528.02747,3.7118137,0,SrcVela,0,1,0,NoAGN,0.024315538,0.04435863,0.9313258,4FGL J0849.2-4410c
2.9682425e-13,2.727445,4.0800206e-13,2.8382237,0.26892057,2.86539,4.0993226e-13,2.6446228,0.5623065,0.6666667,2.8183904,739.5245,11.986042,0,SrcVela,1,0,0,NoAGN,0.006361788,0.095448434,0.8981897,4FGL J0850.3-4448
5.7187545e-13,2.7605097,8.989805e-13,3.0855715,0.39228684,3.6479247,9.206513e-13,3.0169072,1.0743468,0.6666667,3.4188738,1141.225,9.046278,0,SrcVela,1,0,0,NoAGN,7.52991e-05,0.07214832,0.9277764,4FGL J0850.8-4239
