PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_plsuperexpcutoff,spectrum_powerlaw
1.6903673e-13,2.0816336,1.7783626e-13,2.0524702,0.037898865,1.283201,1.7596813e-13,2.0288398,0.040948223,0.6666667,1.1714555,1204.7332,51.74239,0.42913482,BLL,0,0,1
1.4220716e-14,2.1089518,1.3973058e-14,2.1180434,-0.0102216955,0.0,1.4729735e-14,2.0446334,0.032804377,0.6666667,0.0,207.87938,9.374194,0.0,BLL,0,0,1
3.817936e-11,2.670351,4.368817e-11,2.5454607,0.14890152,7.548741,4.228381e-11,2.5059917,0.18454067,0.6666667,7.7873816,5749.194,1861.6034,1.0881721,FSRQ,1,0,0
2.1449475e-14,1.8179636,2.6206439e-14,1.5992589,0.16006884,3.0929494,2.4875786e-14,1.5368207,0.18185906,0.6666667,3.30757,252.898,10.370596,0.0,BLL,1,0,0
1.04206865e-13,2.5188801,1.4262652e-13,2.6416354,0.24472046,3.1826544,1.4469193e-13,2.4821723,0.5563093,0.6666667,3.048739,815.7086,7.720544,0.0,NoAGN,1,0,0
2.0852401e-14,2.4014592,2.3112444e-14,2.3400228,0.10471982,1.0383728,2.3806822e-14,2.2024646,0.2619823,0.6666667,1.1961417,538.879,15.752295,0.0,NoAGN,0,0,1
1.39796e-12,2.4656274,1.9546558e-12,2.3462167,0.38529503,11.985063,1.9137602e-12,2.2277918,0.63334,0.6666667,12.255225,3753.3896,15.3805,0.04047229,NoAGN,0,1,0
1.6078962e-14,2.1385322,2.0622496e-14,1.7766196,0.29265162,1.9612951,2.0675591e-14,1.5417783,0.57662684,0.6666667,2.3264458,269.79892,13.482685,0.0,BLL,0,0,1
1.497786e-13,2.1607301,1.7970576e-13,2.0422213,0.15395518,2.6393673,1.7156637e-13,1.9787837,0.18503946,0.6666667,2.5313537,443.74994,7.8673267,0.0,BLL,1,0,0
1.9337764e-14,2.0532787,2.6746307e-14,1.7820854,0.30331296,2.515318,2.6743036e-14,1.611796,0.5594674,0.6666667,2.6698763,128.64413,19.498081,0.45170566,BLL,1,0,0
1.4941286e-12,2.6151664,1.6769217e-12,2.5576503,0.09903291,2.226562,1.6683884e-12,2.4835863,0.16206774,0.6666667,2.5486255,1458.9464,148.10793,0.9457461,FSRQ,1,0,0
1.5070369e-12,2.4049885,1.6288045e-12,2.322214,0.07929358,2.3719027,1.582567e-12,2.3014212,0.080881566,0.6666667,2.3143551,1429.9028,189.31395,0.84219086,FSRQ,1,0,0
2.3753154e-12,2.638379,2.8355265e-12,2.600829,0.16454981,3.2987463,2.759766e-12,2.5318785,0.23886833,0.6666667,3.018605,1663.9377,55.450825,0.44942507,FSRQ,1,0,0
2.6904716e-14,2.1678643,3.2884438e-14,2.1632757,0.14924477,1.1535305,3.589329e-14,2.1136153,0.53097296,0.6666667,0.5745194,233.91597,26.032305,0.49450755,BLL,0,0,1
3.7639e-14,2.1267276,4.8990854e-14,1.8784531,0.2507267,2.1316292,4.736401e-14,1.7936716,0.3561921,0.6666667,2.056351,170.25885,6.389583,0.0,BLL,1,0,0
1.1274801e-13,2.3892572,1.2143986e-13,2.3713357,0.05335334,0.6190282,1.1765068e-13,2.3508592,0.04236748,0.6666667,0.0,454.34628,22.026712,0.48748028,BLL,0,0,1
1.08363474e-11,2.04609,1.5619317e-11,2.0858889,0.27950552,82.887825,1.5577376e-11,1.9758227,0.49505088,0.5666523,84.214165,57797.83,8.2321615,0.0,NoAGN,0,1,0
9.802645e-13,2.0390635,1.0624387e-12,1.8980258,0.08964169,5.4858456,1.0265299e-12,1.890785,0.07838052,0.6666667,5.930168,3068.6738,8.622466,0.0,BLL,1,0,0
