PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_plsuperexpcutoff,spectrum_powerlaw
4.2844265e-14,2.2473958,4.8417162e-14,2.1280127,0.10999863,1.1175609,4.8620054e-14,2.0488508,0.18231755,0.6666667,1.3292413,411.90985,12.834996,0.0,UncAss,0,0,1
9.7825224e-14,2.3307655,1.1448581e-13,2.2469852,0.10966043,1.1942323,1.0521639e-13,2.2472575,0.0656685,0.6666667,0.0,384.9197,25.568989,0.5617225,UncAss,0,0,1
2.1342814e-15,1.8561517,3.0265302e-15,1.8018793,0.25112218,1.6890817,3.3731766e-15,1.6249598,0.68800306,0.6666667,1.7913541,95.1847,13.149277,0.0,UncAss,0,0,1
1.1362743e-14,2.155106,1.2383039e-14,2.1142292,0.049796414,0.3943623,1.1934207e-14,2.0940287,0.042267106,0.6666667,0.0,271.4384,28.91559,0.66390496,BCU,0,0,1
1.6903673e-13,2.0816336,1.7783626e-13,2.0524702,0.037898865,1.283201,1.7596813e-13,2.0288398,0.040948223,0.6666667,1.1714555,1204.7332,51.74239,0.42913482,BLL,0,0,1
1.4220716e-14,2.1089518,1.3973058e-14,2.1180434,-0.0102216955,0.0,1.4729735e-14,2.0446334,0.032804377,0.6666667,0.0,207.87938,9.374194,0.0,BLL,0,0,1
3.817936e-11,2.670351,4.368817e-11,2.5454607,0.14890152,7.548741,4.228381e-11,2.5059917,0.18454067,0.6666667,7.7873816,5749.194,1861.6034,1.0881721,FSRQ,1,0,0
1.7218245e-13,2.4492536,2.3078598e-13,2.1548774,0.3242405,2.4180264,2.3266095e-13,1.9526582,0.6544845,0.6666667,2.866461,335.82553,11.198676,0.0,UncAss,1,0,0
3.9823224e-14,1.7810848,4.578294e-14,1.5809705,0.12090139,2.6303291,4.3217176e-14,1.5865743,0.098205745,0.6666667,2.3296475,294.07422,25.609457,0.36892056,BCU,1,0,0
4.4687713e-15,1.9064263,5.9821333e-15,1.7634001,0.263591,0.95878243,6.650404e-15,1.4764909,0.73590165,0.6666667,1.4944943,113.890945,26.910145,0.93760574,BCU,0,0,1
2.1449475e-14,1.8179636,2.6206439e-14,1.5992589,0.16006884,3.0929494,2.4875786e-14,1.5368207,0.18185906,0.6666667,3.30757,252.898,10.370596,0.0,BLL,1,0,0
1.04206865e-13,2.5188801,1.4262652e-13,2.6416354,0.24472046,3.1826544,1.4469193e-13,2.4821723,0.5563093,0.6666667,3.048739,815.7086,7.720544,0.0,NoAGN,1,0,0
1.4967823e-14,2.1850238,1.7676934e-14,2.1486943,0.11246348,1.0140743,1.6887608e-14,2.0976598,0.121899456,0.6666667,0.0,249.63875,13.4271145,0.0,BCU,0,0,1
5.2610665e-15,1.8815914,7.750045e-15,1.6310339,0.31822664,2.40811,7.712181e-15,1.4693599,0.5823735,0.6666667,2.4563425,69.35804,19.804802,0.17401539,BCU,1,0,0
2.0852401e-14,2.4014592,2.3112444e-14,2.3400228,0.10471982,1.0383728,2.3806822e-14,2.2024646,0.2619823,0.6666667,1.1961417,538.879,15.752295,0.0,NoAGN,0,0,1
1.39796e-12,2.4656274,1.9546558e-12,2.3462167,0.38529503,11.985063,1.9137602e-12,2.2277918,0.63334,0.6666667,12.255225,3753.3896,15.3805,0.04047229,NoAGN,0,1,0
2.3532872e-14,1.7810209,2.712425e-14,1.581871,0.12164961,2.7047467,2.602863e-14,1.535352,0.12610666,0.6666667,2.9938064,294.852,12.576806,0.045827325,BCU,1,0,0
1.335214e-14,2.0897098,1.5987384e-14,1.7776724,0.19815767,1.0181742,1.6119677e-14,1.5946301,0.36226588,0.6666667,1.1410228,164.75946,13.487527,0.0,OtroAGN,0,0,1
1.6078962e-14,2.1385322,2.0622496e-14,1.7766196,0.29265162,1.9612951,2.0675591e-14,1.5417783,0.57662684,0.6666667,2.3264458,269.79892,13.482685,0.0,BLL,0,0,1
1.7009128e-15,1.8098495,2.0558608e-15,1.7028366,0.11130984,0.8649359,2.1678885e-15,1.5561883,0.23694308,0.6666667,0.81558174,89.10475,7.4973464,0.0,BCU,0,0,1
1.456116e-13,2.336671,1.9674099e-13,2.2865505,0.3331862,2.8562124,2.0644039e-13,2.1453736,0.7812673,0.6666667,3.0069377,424.94504,23.773937,0.49872512,UncAss,1,0,0
3.8857085e-13,2.291044,4.7271404e-13,2.1356444,0.2105951,3.7610042,4.674221e-13,2.037491,0.3497545,0.6666667,3.8960721,672.0352,58.547855,0.6205151,BCU,1,0,0
8.945901e-14,2.3650298,9.014583e-14,2.365603,-0.0003238471,0.0,9.196082e-14,2.3363242,0.0207832,0.6666667,0.0,466.3725,11.475375,0.0,BCU,0,0,1
