SpectrumType,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1
0,-0.012447627,-0.4717737,-0.012773935,-0.33720654,-0.7533101,-0.39800102,-0.012821827,-0.15111218,-0.84386593,0.04349347,-0.43981433,-0.20480113,-0.07061826,1.0516353,BCU
0,-0.012355164,-0.7152972,-0.012654155,-0.5031647,-0.83112997,-0.25001597,-0.012695236,-0.3223573,-0.8478179,0.04349347,-0.24869159,-0.0393177,-0.0584384,0.40192893,BLL
0,-0.012445951,-0.6247513,-0.012772783,-0.32695702,-1.1458786,-0.4636594,-0.01281967,-0.28086907,-0.872221,0.04349347,-0.43981433,-0.21607083,-0.08104509,-0.78566504,BLL
1,0.009934907,1.2359979,0.018844998,0.8215945,-0.10508014,0.7931498,0.019800855,0.931076,-0.41754267,0.04349347,0.8306955,0.7664651,0.9072616,2.2257583,FSRQ
1,-0.012430937,-1.7114617,-0.012749754,-1.7701739,-0.2882243,-0.02572917,-0.012797685,-1.4841473,-0.67624557,0.04349347,-0.059732772,-0.20078753,-0.07238233,0.23529114,BCU
0,-0.012451669,-1.296019,-0.012778567,-1.2799511,0.64508456,-0.30402926,-0.012825904,-1.7733263,1.2346125,0.04349347,-0.19598787,-0.23273602,-0.07168832,1.8090789,BCU
1,-0.0124417115,-1.5892273,-0.012763927,-1.7210296,-0.032036576,0.05129366,-0.01281184,-1.6148455,-0.42557812,0.04349347,0.0998151,-0.20808855,-0.08051344,-0.78566504,BLL
1,-0.012393181,0.7339499,-0.012679644,1.0800341,0.5216555,0.066228874,-0.012719374,0.8685046,0.6964633,0.04349347,0.05758686,-0.10829604,-0.08192744,-0.78566504,NoAGN
0,-0.012445513,-0.37261188,-0.012770101,-0.24459235,-0.34341526,-0.2948236,-0.012818005,-0.1415736,-0.60524726,0.04349347,-0.43981433,-0.20866644,-0.07888255,-0.78566504,BCU
1,-0.0124512045,-1.3783338,-0.0127772875,-1.6356441,1.0024471,-0.06272702,-0.012825086,-1.7920587,0.7745648,0.04349347,-0.039062515,-0.24063219,-0.07547957,-0.30409232,BCU
0,-0.012442063,0.34476006,-0.012766166,0.26954377,-0.3940653,-0.29077807,-0.012812665,0.1337387,-0.18548857,0.04349347,-0.24466404,-0.15738097,-0.07764189,-0.78566504,NoAGN
2,-0.011634496,0.55744463,-0.011367831,0.2861879,1.4411304,1.5317644,-0.011354121,0.20027089,0.92728615,0.04349347,1.5596235,0.4125871,-0.07784027,-0.6736614,NoAGN
1,-0.01244049,-1.7116734,-0.012763262,-1.7677541,-0.28333035,-0.013339196,-0.012810949,-1.6187036,-0.59264034,0.04349347,0.048624616,-0.20064963,-0.079336256,-0.65884185,BCU
0,-0.01244646,-0.6885288,-0.012771325,-1.2415986,0.2170961,-0.29414096,-0.012818596,-1.4629854,0.115011565,0.04349347,-0.2536567,-0.22371648,-0.078850314,-0.78566504,OtroAGN
