PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_plsuperexpcutoff,spectrum_powerlaw
4.2844265e-14,2.2473958,4.8417162e-14,2.1280127,0.10999863,1.1175609,4.8620054e-14,2.0488508,0.18231755,0.6666667,1.3292413,411.90985,12.834996,0.0,UncAss,0,0,1
9.7825224e-14,2.3307655,1.1448581e-13,2.2469852,0.10966043,1.1942323,1.0521639e-13,2.2472575,0.0656685,0.6666667,0.0,384.9197,25.568989,0.5617225,UncAss,0,0,1
2.1342814e-15,1.8561517,3.0265302e-15,1.8018793,0.25112218,1.6890817,3.3731766e-15,1.6249598,0.68800306,0.6666667,1.7913541,95.1847,13.149277,0.0,UncAss,0,0,1
1.7218245e-13,2.4492536,2.3078598e-13,2.1548774,0.3242405,2.4180264,2.3266095e-13,1.9526582,0.6544845,0.6666667,2.866461,335.82553,11.198676,0.0,UncAss,1,0,0
1.456116e-13,2.336671,1.9674099e-13,2.2865505,0.3331862,2.8562124,2.0644039e-13,2.1453736,0.7812673,0.6666667,3.0069377,424.94504,23.773937,0.49872512,UncAss,1,0,0
1.1416744e-13,2.171559,1.8958942e-13,1.8696465,0.63760436,5.984982,1.8833012e-13,1.7062188,1.1943523,0.6666667,6.1840396,396.27264,7.7403827,0.0,UncAss,1,0,0
2.1366864e-13,2.5090811,2.547751e-13,2.503342,0.13266201,2.2082887,2.5025755e-13,2.411425,0.21231785,0.6666667,2.0707448,877.8188,13.592418,0.09956027,UncAss,1,0,0
7.453985e-14,2.2431264,7.8717245e-14,2.2232764,0.045373943,0.72098726,7.629332e-14,2.2171583,0.025309741,0.6666667,0.0,571.34515,38.813873,0.6450894,UncAss,0,0,1
3.0739135e-13,2.6956036,5.9064987e-13,2.9261444,0.4041113,3.8804023,6.1578124e-13,2.720138,0.98723847,0.6666667,3.9092505,841.1667,6.9132595,0.0,UncAss,1,0,0
1.8118055e-13,2.6329253,2.9088814e-13,2.8613513,0.31972998,3.2182136,2.9801452e-13,2.7044988,0.7957113,0.6666667,3.1346126,774.40356,9.13717,0.0,UncAss,1,0,0
2.9437912e-14,2.2776172,3.094596e-14,2.2650285,0.038119458,0.10287673,3.1727045e-14,2.1802518,0.12025187,0.6666667,0.0,222.68172,13.523576,0.0,UncAss,0,0,1
4.113851e-15,2.0364294,6.0812498e-15,1.7203752,0.38883317,2.2176816,6.119237e-15,1.4824902,0.8576411,0.6666667,2.5956419,75.90467,11.483079,0.15922323,UncAss,1,0,0
2.7212077e-15,1.8571069,4.751557e-15,1.4952713,0.51594895,2.810456,4.987868e-15,1.2069589,1.1469275,0.6666667,3.2443724,37.21969,12.3671665,0.0,UncAss,1,0,0
5.0121586e-14,2.383222,5.4606466e-14,2.3944445,0.060714085,1.1730291,5.3817773e-14,2.3305614,0.08611934,0.6666667,0.7029223,854.16425,13.321477,0.1327597,UncAss,0,0,1
1.8962542e-12,2.8888364,2.198751e-12,2.7894464,0.14310132,0.95777285,2.2665062e-12,2.6703155,0.3395244,0.6666667,1.0598084,571.6213,20.425594,0.5158406,UncAss,0,0,1
2.9777095e-13,2.484575,3.4100934e-13,2.4208238,0.13818204,1.7650717,3.379574e-13,2.3578496,0.22232491,0.6666667,1.7383794,766.5439,27.351149,0.44660774,UncAss,0,0,1
5.822895e-13,2.6146982,6.9409566e-13,2.4602754,0.18029746,1.8488959,6.9148604e-13,2.355414,0.30004373,0.6666667,2.1096623,673.80756,19.296682,0.19449152,UncAss,0,0,1
4.3623913e-13,2.4548826,4.823576e-13,2.4386837,0.07129604,1.1076863,4.5262646e-13,2.4197612,0.03875078,0.6666667,0.0,645.4786,14.395337,0.15491962,UncAss,0,0,1
9.053362e-15,2.0627,1.0496804e-14,1.8235602,0.15343441,0.83631307,1.0589459e-14,1.6439693,0.31272045,0.6666667,1.190557,203.22418,14.099163,0.0,UncAss,0,0,1
1.9770886e-15,1.8946562,2.463448e-15,1.8058772,0.13649221,1.0487134,2.5306054e-15,1.6248528,0.29723904,0.6666667,1.0841597,95.68068,13.962288,0.0,UncAss,0,0,1
1.9825885e-14,2.1763122,2.3247705e-14,2.0133977,0.13715956,0.8905427,2.3809212e-14,1.9318062,0.23586996,0.6666667,0.74317783,197.43555,13.784596,0.0,UncAss,0,0,1
6.877663e-13,2.7884169,8.140821e-13,2.7308803,0.1350384,1.0428512,8.7229296e-13,2.6427171,0.43946898,0.6666667,0.84496605,566.22064,11.985382,0.0,UncAss,0,0,1
1.908971e-12,2.8725317,2.034285e-12,2.8436842,0.05628493,0.61330616,2.0144804e-12,2.8061337,0.080410264,0.6666667,0.0,734.09283,13.605587,0.0,UncAss,0,0,1
